Year,Country,Region,Happiness Rank,Happiness Score,Economy,Family,Freedom,Generosity,Health,Trust
2018,Finland,Western Europe,1,7.6320,1.3050,1.5920,0.6810,0.2020,0.8740,0.3930
2018,Norway,Western Europe,2,7.5940,1.4560,1.5820,0.6860,0.2860,0.8610,0.3400
2018,Denmark,Western Europe,3,7.5550,1.3510,1.5900,0.6830,0.2840,0.8680,0.4080
2018,Iceland,Western Europe,4,7.4950,1.3430,1.6440,0.6770,0.3530,0.9140,0.1380
2018,Switzerland,Western Europe,5,7.4870,1.4200,1.5490,0.6600,0.2560,0.9270,0.3570
2018,Netherlands,Western Europe,6,7.4410,1.3610,1.4880,0.6380,0.3330,0.8780,0.2950
2018,Canada,North America,7,7.3280,1.3300,1.5320,0.6530,0.3210,0.8960,0.2910
2018,New Zealand,Australia and New Zealand,8,7.3240,1.2680,1.6010,0.6690,0.3650,0.8760,0.3890
2018,Sweden,Western Europe,9,7.3140,1.3550,1.5010,0.6590,0.2850,0.9130,0.3830
2018,Australia,Australia and New Zealand,10,7.2720,1.3400,1.5730,0.6470,0.3610,0.9100,0.3020
2018,United Kingdom,Western Europe,11,7.1900,1.2440,1.4330,0.4640,0.2620,0.8880,0.0820
2018,Austria,Western Europe,12,7.1390,1.3410,1.5040,0.6170,0.2420,0.8910,0.2240
2018,Costa Rica,Latin America and Caribbean,13,7.0720,1.0100,1.4590,0.6320,0.1430,0.8170,0.1010
2018,Ireland,Western Europe,14,6.9770,1.4480,1.5830,0.6140,0.3070,0.8760,0.3060
2018,Germany,Western Europe,15,6.9650,1.3400,1.4740,0.5860,0.2730,0.8610,0.2800
2018,Belgium,Western Europe,16,6.9270,1.3240,1.4830,0.5830,0.1880,0.8940,0.2400
2018,Luxembourg,Western Europe,17,6.9100,1.5760,1.5200,0.6320,0.1960,0.8960,0.3210
2018,United States,North America,18,6.8860,1.3980,1.4710,0.5470,0.2910,0.8190,0.1330
2018,Israel,Middle East and Northern Africa,19,6.8140,1.3010,1.5590,0.5330,0.3540,0.8830,0.2720
2018,United Arab Emirates,Middle East and Northern Africa,20,6.7740,2.0960,0.7760,0.2840,0.1860,0.6700,N/A
2018,Czech Republic,Central and Eastern Europe,21,6.7110,1.2330,1.4890,0.5430,0.0640,0.8540,0.0340
2018,Malta,Western Europe,22,6.6270,1.2700,1.5250,0.6450,0.3760,0.8840,0.1420
2018,France,Western Europe,23,6.4890,1.2930,1.4660,0.5200,0.0980,0.9080,0.1760
2018,Mexico,Latin America and Caribbean,24,6.4880,1.0380,1.2520,0.4790,0.0690,0.7610,0.0950
2018,Chile,Latin America and Caribbean,25,6.4760,1.1310,1.3310,0.4310,0.1970,0.8080,0.0610
2018,Taiwan,Eastern Asia,26,6.4410,1.3650,1.4360,0.4180,0.1510,0.8570,0.0780
2018,Panama,Latin America and Caribbean,27,6.4300,1.1120,1.4380,0.5970,0.1250,0.7590,0.0630
2018,Brazil,Latin America and Caribbean,28,6.4190,0.9860,1.4740,0.4930,0.1100,0.6750,0.0880
