,Year,Country,Region,Happiness Rank,Happiness Score,Economy,Family,Freedom,Generosity,Health,Trust
0,2019,Finland,Western Europe,1,7.769,1.34,1.587,0.596,0.153,0.986,0.393
1,2019,Denmark,Western Europe,2,7.6,1.383,1.573,0.592,0.252,0.996,0.41
2,2019,Norway,Western Europe,3,7.554,1.488,1.582,0.603,0.271,1.028,0.341
3,2019,Iceland,Western Europe,4,7.494,1.38,1.624,0.591,0.354,1.026,0.118
4,2019,Netherlands,Western Europe,5,7.488,1.396,1.522,0.557,0.322,0.999,0.298
5,2019,Switzerland,Western Europe,6,7.48,1.452,1.526,0.572,0.263,1.052,0.343
6,2019,Sweden,Western Europe,7,7.343,1.387,1.487,0.574,0.267,1.009,0.373
7,2019,New Zealand,Australia and New Zealand,8,7.307,1.303,1.557,0.585,0.33,1.026,0.38
8,2019,Canada,North America,9,7.278,1.365,1.505,0.584,0.285,1.039,0.308
9,2019,Austria,Western Europe,10,7.246,1.376,1.475,0.532,0.244,1.016,0.226
10,2019,Australia,Australia and New Zealand,11,7.228,1.372,1.548,0.557,0.332,1.036,0.29
11,2019,Costa Rica,Latin America and Caribbean,12,7.167,1.034,1.441,0.558,0.144,0.963,0.093
12,2019,Israel,Middle East and Northern Africa,13,7.139,1.276,1.455,0.371,0.261,1.029,0.082
13,2019,Luxembourg,Western Europe,14,7.09,1.609,1.479,0.526,0.194,1.012,0.316
14,2019,United Kingdom,Western Europe,15,7.054,1.333,1.538,0.45,0.348,0.996,0.278
15,2019,Ireland,Western Europe,16,7.021,1.499,1.553,0.516,0.298,0.999,0.31
16,2019,Germany,Western Europe,17,6.985,1.373,1.454,0.495,0.261,0.987,0.265
17,2019,Belgium,Western Europe,18,6.923,1.356,1.504,0.473,0.16,0.986,0.21
18,2019,United States,North America,19,6.892,1.433,1.457,0.454,0.28,0.874,0.128
19,2019,Czech Republic,Central and Eastern Europe,20,6.852,1.269,1.487,0.457,0.046,0.92,0.036
20,2019,United Arab Emirates,Middle East and Northern Africa,21,6.825,1.503,1.31,0.598,0.262,0.825,0.182
21,2019,Malta,Western Europe,22,6.726,1.3,1.52,0.564,0.375,0.999,0.151
22,2019,Mexico,Latin America and Caribbean,23,6.595,1.07,1.323,0.433,0.074,0.861,0.073
23,2019,France,Western Europe,24,6.592,1.324,1.472,0.436,0.111,1.045,0.183
24,2019,Taiwan,Eastern Asia,25,6.446,1.368,1.43,0.351,0.242,0.914,0.097
25,2019,Chile,Latin America and Caribbean,26,6.444,1.159,1.369,0.357,0.187,0.92,0.056
26,2019,Guatemala,Latin America and Caribbean,27,6.436,0.8,1.269,0.535,0.175,0.746,0.078
27,2019,Saudi Arabia,Middle East and Northern Africa,28,6.375,1.403,1.357,0.439,0.08,0.795,0.132
28,2019,Qatar,Middle East and Northern Africa,29,6.374,1.684,1.313,0.555,0.22,0.871,0.167
29,2019,Spain,Western Europe,30,6.354,1.286,1.484,0.362,0.153,1.062,0.079
30,2019,Panama,Latin America and Caribbean,31,6.321,1.149,1.442,0.516,0.109,0.91,0.054
31,2019,Brazil,Latin America and Caribbean,32,6.3,1.004,1.439,0.39,0.099,0.802,0.086
32,2019,Uruguay,Latin America and Caribbean,33,6.293,1.124,1.465,0.523,0.127,0.891,0.15
33,2019,Singapore,Southeastern Asia,34,6.262,1.572,1.463,0.556,0.271,1.141,0.453
34,2019,El Salvador,Latin America and Caribbean,35,6.253,0.794,1.242,0.43,0.093,0.789,0.074
35,2019,Italy,Western Europe,36,6.223,1.294,1.488,0.231,0.158,1.039,0.03
36,2019,Bahrain,Middle East and Northern Africa,37,6.199,1.362,1.368,0.536,0.255,0.871,0.11
37,2019,Slovakia,Central and Eastern Europe,38,6.198,1.246,1.504,0.334,0.121,0.881,0.014
38,2019,Trinidad and Tobago,Latin America and Caribbean,39,6.192,1.231,1.477,0.489,0.185,0.713,0.016
39,2019,Poland,Central and Eastern Europe,40,6.182,1.206,1.438,0.483,0.117,0.884,0.05
40,2019,Uzbekistan,Central and Eastern Europe,41,6.174,0.745,1.529,0.631,0.322,0.756,0.24
41,2019,Lithuania,Central and Eastern Europe,42,6.149,1.238,1.515,0.291,0.043,0.818,0.042
42,2019,Colombia,Latin America and Caribbean,43,6.125,0.985,1.41,0.47,0.099,0.841,0.034
43,2019,Slovenia,Central and Eastern Europe,44,6.118,1.258,1.523,0.564,0.144,0.953,0.057
44,2019,Nicaragua,Latin America and Caribbean,45,6.105,0.694,1.325,0.435,0.2,0.835,0.127
45,2019,Kosovo,Central and Eastern Europe,46,6.1,0.882,1.232,0.489,0.262,0.758,0.006
46,2019,Argentina,Latin America and Caribbean,47,6.086,1.092,1.432,0.471,0.066,0.881,0.05
47,2019,Romania,Central and Eastern Europe,48,6.07,1.162,1.232,0.462,0.083,0.825,0.005
48,2019,Cyprus,Western Europe,49,6.046,1.263,1.223,0.406,0.19,1.042,0.041
49,2019,Ecuador,Latin America and Caribbean,50,6.028,0.912,1.312,0.498,0.126,0.868,0.087
50,2019,Kuwait,Middle East and Northern Africa,51,6.021,1.5,1.319,0.493,0.142,0.808,0.097
51,2019,Thailand,Southeastern Asia,52,6.008,1.05,1.409,0.557,0.359,0.828,0.028
52,2019,Latvia,Central and Eastern Europe,53,5.94,1.187,1.465,0.264,0.075,0.812,0.064
53,2019,South Korea,Eastern Asia,54,5.895,1.301,1.219,0.159,0.175,1.036,0.056
54,2019,Estonia,Central and Eastern Europe,55,5.893,1.237,1.528,0.495,0.103,0.874,0.161
55,2019,Jamaica,Latin America and Caribbean,56,5.89,0.831,1.478,0.49,0.107,0.831,0.028
56,2019,Mauritius,Sub-Saharan Africa,57,5.888,1.12,1.402,0.498,0.215,0.798,0.06
57,2019,Japan,Eastern Asia,58,5.886,1.327,1.419,0.445,0.069,1.088,0.14
58,2019,Honduras,Latin America and Caribbean,59,5.86,0.642,1.236,0.507,0.246,0.828,0.078
59,2019,Kazakhstan,Central and Eastern Europe,60,5.809,1.173,1.508,0.41,0.146,0.729,0.096
60,2019,Bolivia,Latin America and Caribbean,61,5.779,0.776,1.209,0.511,0.137,0.706,0.064
61,2019,Hungary,Central and Eastern Europe,62,5.758,1.201,1.41,0.199,0.081,0.828,0.02
62,2019,Paraguay,Latin America and Caribbean,63,5.743,0.855,1.475,0.514,0.184,0.777,0.08
63,2019,North Cyprus,Western Europe,64,5.718,1.263,1.252,0.417,0.191,1.042,0.162
64,2019,Peru,Latin America and Caribbean,65,5.697,0.96,1.274,0.455,0.083,0.854,0.027
65,2019,Portugal,Western Europe,66,5.693,1.221,1.431,0.508,0.047,0.999,0.025
