,Year,Country,Region,Happiness Rank,Happiness Score,Economy,Family,Freedom,Generosity,Health,Trust
0,2018,Finland,Western Europe,1,7.632,1.305,1.592,0.681,0.202,0.874,0.393
1,2018,Norway,Western Europe,2,7.594,1.456,1.582,0.686,0.286,0.861,0.34
2,2018,Denmark,Western Europe,3,7.555,1.351,1.59,0.683,0.284,0.868,0.408
3,2018,Iceland,Western Europe,4,7.495,1.343,1.644,0.677,0.353,0.914,0.138
4,2018,Switzerland,Western Europe,5,7.487,1.42,1.549,0.66,0.256,0.927,0.357
5,2018,Netherlands,Western Europe,6,7.441,1.361,1.488,0.638,0.333,0.878,0.295
6,2018,Canada,North America,7,7.328,1.33,1.532,0.653,0.321,0.896,0.291
7,2018,New Zealand,Australia and New Zealand,8,7.324,1.268,1.601,0.669,0.365,0.876,0.389
8,2018,Sweden,Western Europe,9,7.314,1.355,1.501,0.659,0.285,0.913,0.383
9,2018,Australia,Australia and New Zealand,10,7.272,1.34,1.573,0.647,0.361,0.91,0.302
10,2018,United Kingdom,Western Europe,11,7.19,1.244,1.433,0.464,0.262,0.888,0.082
11,2018,Austria,Western Europe,12,7.139,1.341,1.504,0.617,0.242,0.891,0.224
12,2018,Costa Rica,Latin America and Caribbean,13,7.072,1.01,1.459,0.632,0.143,0.817,0.101
13,2018,Ireland,Western Europe,14,6.977,1.448,1.583,0.614,0.307,0.876,0.306
14,2018,Germany,Western Europe,15,6.965,1.34,1.474,0.586,0.273,0.861,0.28
15,2018,Belgium,Western Europe,16,6.927,1.324,1.483,0.583,0.188,0.894,0.24
16,2018,Luxembourg,Western Europe,17,6.91,1.576,1.52,0.632,0.196,0.896,0.321
17,2018,United States,North America,18,6.886,1.398,1.471,0.547,0.291,0.819,0.133
18,2018,Israel,Middle East and Northern Africa,19,6.814,1.301,1.559,0.533,0.354,0.883,0.272
19,2018,United Arab Emirates,Middle East and Northern Africa,20,6.774,2.096,0.776,0.284,0.186,0.67,
20,2018,Czech Republic,Central and Eastern Europe,21,6.711,1.233,1.489,0.543,0.064,0.854,0.034
21,2018,Malta,Western Europe,22,6.627,1.27,1.525,0.645,0.376,0.884,0.142
22,2018,France,Western Europe,23,6.489,1.293,1.466,0.52,0.098,0.908,0.176
23,2018,Mexico,Latin America and Caribbean,24,6.488,1.038,1.252,0.479,0.069,0.761,0.095
24,2018,Chile,Latin America and Caribbean,25,6.476,1.131,1.331,0.431,0.197,0.808,0.061
25,2018,Taiwan,Eastern Asia,26,6.441,1.365,1.436,0.418,0.151,0.857,0.078
26,2018,Panama,Latin America and Caribbean,27,6.43,1.112,1.438,0.597,0.125,0.759,0.063
27,2018,Brazil,Latin America and Caribbean,28,6.419,0.986,1.474,0.493,0.11,0.675,0.088
28,2018,Argentina,Latin America and Caribbean,29,6.388,1.073,1.468,0.57,0.062,0.744,0.054
29,2018,Guatemala,Latin America and Caribbean,30,6.382,0.781,1.268,0.604,0.179,0.608,0.071
30,2018,Uruguay,Latin America and Caribbean,31,6.379,1.093,1.459,0.625,0.13,0.771,0.155
31,2018,Qatar,Middle East and Northern Africa,32,6.374,1.649,1.303,0.654,0.256,0.748,0.171
32,2018,Saudi Arabia,Middle East and Northern Africa,33,6.371,1.379,1.331,0.509,0.098,0.633,0.127
33,2018,Singapore,Southeastern Asia,34,6.343,1.529,1.451,0.631,0.261,1.008,0.457
34,2018,Malaysia,Southeastern Asia,35,6.322,1.161,1.258,0.356,0.311,0.669,0.059
35,2018,Spain,Western Europe,36,6.31,1.251,1.538,0.449,0.142,0.965,0.074
36,2018,Colombia,Latin America and Caribbean,37,6.26,0.96,1.439,0.531,0.099,0.635,0.039
37,2018,Trinidad and Tobago,Latin America and Caribbean,38,6.192,1.223,1.492,0.575,0.171,0.564,0.019
38,2018,Slovakia,Central and Eastern Europe,39,6.173,1.21,1.537,0.354,0.118,0.776,0.014
39,2018,El Salvador,Latin America and Caribbean,40,6.167,0.806,1.231,0.461,0.065,0.639,0.082
40,2018,Nicaragua,Latin America and Caribbean,41,6.141,0.668,1.319,0.527,0.208,0.7,0.128
41,2018,Poland,Central and Eastern Europe,42,6.123,1.176,1.448,0.546,0.108,0.781,0.064
42,2018,Bahrain,Middle East and Northern Africa,43,6.105,1.338,1.366,0.594,0.243,0.698,0.123
43,2018,Uzbekistan,Central and Eastern Europe,44,6.096,0.719,1.584,0.724,0.328,0.605,0.259
44,2018,Kuwait,Middle East and Northern Africa,45,6.083,1.474,1.301,0.554,0.167,0.675,0.106
45,2018,Thailand,Southeastern Asia,46,6.072,1.016,1.417,0.637,0.364,0.707,0.029
46,2018,Italy,Western Europe,47,6.0,1.264,1.501,0.281,0.137,0.946,0.028
47,2018,Ecuador,Latin America and Caribbean,48,5.973,0.889,1.33,0.556,0.114,0.736,0.12
48,2018,Belize,Latin America and Caribbean,49,5.956,0.807,1.101,0.593,0.183,0.474,0.089
49,2018,Lithuania,Central and Eastern Europe,50,5.952,1.197,1.527,0.35,0.026,0.716,0.006
50,2018,Slovenia,Central and Eastern Europe,51,5.948,1.219,1.506,0.633,0.16,0.856,0.051
51,2018,Romania,Central and Eastern Europe,52,5.945,1.116,1.219,0.528,0.088,0.726,0.001
52,2018,Latvia,Central and Eastern Europe,53,5.933,1.148,1.454,0.363,0.092,0.671,0.066
53,2018,Japan,Eastern Asia,54,5.915,1.294,1.462,0.553,0.079,0.988,0.15
54,2018,Mauritius,Sub-Saharan Africa,55,5.891,1.09,1.387,0.584,0.245,0.684,0.05
