,Year,Country,Region,Happiness Rank,Happiness Score,Economy,Family,Freedom,Generosity,Health,Trust
0,2017,Norway,Western Europe,1,7.537,1.6165,1.5335,0.6354,0.362,0.7967,0.316
1,2017,Denmark,Western Europe,2,7.522,1.4824,1.5511,0.626,0.3553,0.7926,0.4008
2,2017,Iceland,Western Europe,3,7.504,1.4806,1.6106,0.6272,0.4755,0.8336,0.1535
3,2017,Switzerland,Western Europe,4,7.494,1.565,1.5169,0.6201,0.2905,0.8581,0.367
4,2017,Finland,Western Europe,5,7.469,1.4436,1.5402,0.618,0.2455,0.8092,0.3826
5,2017,Netherlands,Western Europe,6,7.377,1.5039,1.4289,0.5854,0.4705,0.8107,0.2827
6,2017,Canada,North America,7,7.316,1.4792,1.4813,0.6111,0.4355,0.8346,0.2874
7,2017,New Zealand,Australia and New Zealand,8,7.314,1.4057,1.5482,0.6141,0.5,0.8168,0.3828
8,2017,Sweden,Western Europe,9,7.284,1.4944,1.4782,0.6129,0.3854,0.8309,0.3844
9,2017,Australia,Australia and New Zealand,10,7.284,1.4844,1.51,0.6016,0.4777,0.8439,0.3012
10,2017,Israel,Middle East and Northern Africa,11,7.213,1.3754,1.3763,0.406,0.3301,0.8384,0.0852
11,2017,Costa Rica,Latin America and Caribbean,12,7.079,1.1097,1.4164,0.5801,0.2146,0.7595,0.1001
12,2017,Austria,Western Europe,13,7.006,1.4871,1.4599,0.5678,0.3165,0.8153,0.2211
13,2017,United States,North America,14,6.993,1.5463,1.4199,0.5057,0.3926,0.7743,0.1356
14,2017,Ireland,Western Europe,15,6.977,1.5357,1.5582,0.5731,0.4279,0.8098,0.2984
15,2017,Germany,Western Europe,16,6.951,1.4879,1.4725,0.5625,0.3363,0.799,0.2767
16,2017,Belgium,Western Europe,17,6.891,1.4638,1.4623,0.5398,0.2315,0.8181,0.2513
17,2017,Luxembourg,Western Europe,18,6.863,1.7419,1.4576,0.5966,0.2832,0.8451,0.3188
