,Year,Country,Region,Happiness Rank,Happiness Score,Economy,Family,Freedom,Generosity,Health,Trust
0,2016,Denmark,Western Europe,1,7.526,1.4418,1.1637,0.5794,0.3617,0.795,0.4445
1,2016,Switzerland,Western Europe,2,7.509,1.5273,1.1452,0.5856,0.2808,0.863,0.412
2,2016,Iceland,Western Europe,3,7.501,1.4267,1.1833,0.5662,0.4768,0.8673,0.1498
3,2016,Norway,Western Europe,4,7.498,1.5774,1.1269,0.5961,0.379,0.7958,0.3578
4,2016,Finland,Western Europe,5,7.413,1.406,1.1346,0.571,0.2549,0.8109,0.41
5,2016,Canada,North America,6,7.404,1.4402,1.0961,0.5737,0.4483,0.8276,0.3133
6,2016,Netherlands,Western Europe,7,7.339,1.4647,1.0291,0.5521,0.4742,0.8123,0.2993
7,2016,New Zealand,Australia and New Zealand,8,7.334,1.3607,1.1728,0.5815,0.494,0.831,0.419
8,2016,Australia,Australia and New Zealand,9,7.313,1.4444,1.1048,0.5684,0.4741,0.8512,0.3233
9,2016,Sweden,Western Europe,10,7.291,1.4518,1.0876,0.5822,0.3825,0.8312,0.4087
10,2016,Israel,Middle East and Northern Africa,11,7.267,1.3377,0.9954,0.3643,0.3229,0.8492,0.0873
11,2016,Austria,Western Europe,12,7.119,1.4504,1.0838,0.5436,0.3287,0.8057,0.2135
12,2016,United States,North America,13,7.104,1.508,1.0478,0.4816,0.4108,0.779,0.1487
13,2016,Costa Rica,Latin America and Caribbean,14,7.087,1.0688,1.0215,0.5523,0.2255,0.7615,0.1055
14,2016,Germany,Western Europe,16,6.994,1.4479,1.0977,0.5347,0.3045,0.8149,0.2855
15,2016,Brazil,Latin America and Caribbean,17,6.952,1.0875,1.0394,0.4043,0.1578,0.6142,0.1417
16,2016,Belgium,Western Europe,18,6.929,1.4254,1.0525,0.5135,0.2424,0.8196,0.2625
17,2016,Ireland,Western Europe,19,6.907,1.4834,1.1616,0.5401,0.4496,0.8146,0.2975
18,2016,Luxembourg,Western Europe,20,6.871,1.6975,1.04,0.5487,0.2757,0.8454,0.3533
19,2016,Mexico,Latin America and Caribbean,21,6.778,1.1151,0.7146,0.3771,0.1174,0.7114,0.1836
20,2016,Singapore,Southeastern Asia,22,6.739,1.6456,0.8676,0.4877,0.3271,0.9472,0.4699
