,Country,Economy
0,Finland,1.34
1,Denmark,1.383
2,Norway,1.488
3,Iceland,1.38
4,Netherlands,1.396
5,Switzerland,1.452
6,Sweden,1.387
7,New Zealand,1.303
8,Canada,1.365
9,Austria,1.376
10,Australia,1.372
11,Costa Rica,1.034
12,Israel,1.276
13,Luxembourg,1.609
14,United Kingdom,1.333
15,Ireland,1.499
16,Germany,1.373
17,Belgium,1.356
18,United States,1.433
19,Czech Republic,1.269
20,United Arab Emirates,1.503
21,Malta,1.3
22,Mexico,1.07
23,France,1.324
24,Taiwan,1.368
25,Chile,1.159
26,Guatemala,0.8
27,Saudi Arabia,1.403
28,Qatar,1.684
29,Spain,1.286
30,Panama,1.149
31,Brazil,1.004
32,Uruguay,1.124
33,Singapore,1.572
34,El Salvador,0.794
35,Italy,1.294
36,Bahrain,1.362
37,Slovakia,1.246
38,Trinidad and Tobago,1.231
39,Poland,1.206
40,Uzbekistan,0.745
41,Lithuania,1.238
42,Colombia,0.985
43,Slovenia,1.258
44,Nicaragua,0.694
45,Kosovo,0.882
46,Argentina,1.092
47,Romania,1.162
48,Cyprus,1.263
49,Ecuador,0.912
50,Kuwait,1.5
51,Thailand,1.05
52,Latvia,1.187
53,South Korea,1.301
54,Estonia,1.237
55,Jamaica,0.831
56,Mauritius,1.12
57,Japan,1.327
58,Honduras,0.642
59,Kazakhstan,1.173
60,Bolivia,0.776
61,Hungary,1.201
62,Paraguay,0.855
63,North Cyprus,1.263
64,Peru,0.96
65,Portugal,1.221
66,Pakistan,0.677
67,Russia,1.183
68,Philippines,0.807
69,Serbia,1.004
70,Moldova,0.685
71,Libya,1.044
72,Montenegro,1.051
73,Tajikistan,0.493
74,Croatia,1.155
75,Hong Kong,1.438
76,Dominican Republic,1.015
77,Bosnia and Herzegovina,0.945
78,Turkey,1.183
79,Malaysia,1.221
80,Belarus,1.067
81,Greece,1.181
82,Mongolia,0.948
83,Nigeria,0.696
84,Kyrgyzstan,0.551
85,Turkmenistan,1.052
86,Algeria,1.002
87,Morocco,0.801
88,Azerbaijan,1.043
89,Lebanon,0.987
90,Indonesia,0.931
91,China,1.029
92,Vietnam,0.741
93,Bhutan,0.813
94,Cameroon,0.549
95,Bulgaria,1.092
96,Ghana,0.611
97,Ivory Coast,0.569
98,Nepal,0.446
99,Jordan,0.837
100,Benin,0.393
101,Congo (Brazzaville),0.673
102,Gabon,1.057
103,Laos,0.764
104,South Africa,0.96
105,Albania,0.947
106,Venezuela,0.96
107,Cambodia,0.574
108,Palestinian Territories,0.657
109,Senegal,0.45
110,Somalia,0.0
111,Namibia,0.879
112,Niger,0.138
113,Burkina Faso,0.331
114,Armenia,0.85
115,Iran,1.1
116,Guinea,0.38
117,Georgia,0.886
118,Kenya,0.512
119,Mauritania,0.57
120,Mozambique,0.204
121,Tunisia,0.921
122,Bangladesh,0.562
123,Iraq,1.043
124,Congo (Kinshasa),0.094
125,Mali,0.385
126,Sierra Leone,0.268
127,Sri Lanka,0.949
128,Myanmar,0.71
129,Chad,0.35
130,Ukraine,0.82
131,Ethiopia,0.336
132,Swaziland,0.811
133,Uganda,0.332
134,Egypt,0.913
135,Zambia,0.578
136,Togo,0.275
137,India,0.755
138,Liberia,0.073
139,Comoros,0.274
140,Madagascar,0.274
141,Lesotho,0.489
142,Burundi,0.046
143,Zimbabwe,0.366
144,Haiti,0.323
145,Botswana,1.041
146,Syria,0.619
147,Malawi,0.191
148,Yemen,0.287
149,Rwanda,0.359
150,Tanzania,0.476
151,Afghanistan,0.35
152,Central African Republic,0.026
153,South Sudan,0.306
