,Country,Economy
0,Switzerland,1.3965
1,Iceland,1.3023
2,Denmark,1.3255
3,Norway,1.459
4,Canada,1.3263
5,Finland,1.2903
6,Netherlands,1.3294
7,Sweden,1.3317
8,New Zealand,1.2502
9,Australia,1.3336
10,Israel,1.2286
11,Costa Rica,0.9558
12,Austria,1.3372
13,Mexico,1.0205
14,United States,1.3945
15,Brazil,0.9812
16,Luxembourg,1.5639
17,Ireland,1.336
18,Belgium,1.3078
19,United Arab Emirates,1.4273
20,United Kingdom,1.2664
21,Venezuela,1.0442
22,Singapore,1.5219
23,Panama,1.0635
24,Germany,1.3279
25,Chile,1.1072
26,Qatar,1.6904
27,France,1.2778
28,Argentina,1.0535
29,Czech Republic,1.179
30,Uruguay,1.0617
31,Colombia,0.9186
32,Thailand,0.9669
33,Saudi Arabia,1.3954
34,Spain,1.2301
35,Malta,1.2074
36,Taiwan,1.291
37,Kuwait,1.5542
38,Suriname,0.9953
39,Trinidad and Tobago,1.2118
40,El Salvador,0.7645
41,Guatemala,0.7455
42,Uzbekistan,0.6324
43,Slovakia,1.1689
44,Japan,1.2707
45,South Korea,1.2446
46,Ecuador,0.864
47,Bahrain,1.3238
48,Italy,1.2511
49,Bolivia,0.6813
50,Moldova,0.5945
51,Paraguay,0.7599
52,Kazakhstan,1.1225
53,Slovenia,1.185
54,Lithuania,1.1472
55,Nicaragua,0.5933
56,Peru,0.9002
57,Belarus,1.0319
58,Poland,1.1256
59,Malaysia,1.1249
60,Croatia,1.0825
61,Libya,1.1315
62,Russia,1.1376
63,Jamaica,0.8104
64,North Cyprus,1.2081
65,Cyprus,1.2081
66,Algeria,0.9393
67,Kosovo,0.8015
68,Turkmenistan,0.9585
69,Mauritius,1.0076
70,Hong Kong,1.386
71,Estonia,1.1517
72,Indonesia,0.8283
73,Vietnam,0.6322
74,Turkey,1.061
75,Kyrgyzstan,0.4743
76,Nigeria,0.6544
77,Bhutan,0.7704
78,Azerbaijan,1.0239
79,Pakistan,0.5954
80,Jordan,0.902
81,Montenegro,0.9744
82,China,0.8901
83,Zambia,0.4704
84,Romania,1.0435
85,Serbia,0.9205
86,Portugal,1.1599
87,Latvia,1.1131
88,Philippines,0.7053
89,Somaliland Region,0.1885
90,Morocco,0.7348
91,Macedonia,0.9185
92,Mozambique,0.0831
93,Albania,0.8787
94,Bosnia and Herzegovina,0.8322
95,Lesotho,0.3755
96,Dominican Republic,0.8954
97,Laos,0.5907
98,Mongolia,0.8282
99,Swaziland,0.7121
100,Greece,1.1541
101,Lebanon,1.0256
102,Hungary,1.1209
103,Honduras,0.5953
104,Tajikistan,0.3905
105,Tunisia,0.8811
106,Palestinian Territories,0.5987
107,Bangladesh,0.3975
108,Iran,1.0088
109,Ukraine,0.7991
110,Iraq,0.9855
111,South Africa,0.9205
112,Ghana,0.5456
113,Zimbabwe,0.271
114,Liberia,0.0712
115,India,0.645
116,Sudan,0.5211
117,Haiti,0.2667
118,Congo (Kinshasa),0.0
119,Nepal,0.36
120,Ethiopia,0.1907
121,Sierra Leone,0.3302
122,Mauritania,0.4541
123,Kenya,0.3647
124,Armenia,0.7682
125,Botswana,0.9936
126,Myanmar,0.2711
127,Georgia,0.7419
128,Malawi,0.016
129,Sri Lanka,0.8352
130,Cameroon,0.4225
131,Bulgaria,1.0122
132,Egypt,0.8818
133,Yemen,0.5465
134,Angola,0.7578
135,Mali,0.2607
136,Congo (Brazzaville),0.6787
137,Comoros,0.2391
138,Uganda,0.211
139,Senegal,0.365
140,Gabon,1.0602
141,Niger,0.0694
142,Cambodia,0.4604
143,Tanzania,0.2852
144,Madagascar,0.2082
145,Central African Republic,0.0785
146,Chad,0.3419
147,Guinea,0.1742
148,Ivory Coast,0.4653
149,Burkina Faso,0.2581
150,Afghanistan,0.3198
151,Rwanda,0.2221
152,Benin,0.2867
153,Syria,0.6632
154,Burundi,0.0153
155,Togo,0.2087
